Highway,Spl,LoS,Velocity,Stop %,Highway,Spl,LoS,Velocity,Stop %,Highway,Spl,LoS,Velocity,Stop %,Highway,Spl,LoS,Velocity,Stop %,Highway,Spl,LoS,Velocity,Stop %,Highway,Spl,LoS,Velocity,Stop %
Motorway,130,1,126.030287,0,Trunk,130,1,NA,NA,Primary,130,1,NA,NA,Secondary,130,1,NA,NA,Tertiary,130,1,NA,NA,Residential,130,1,NA,NA
,,2,112.091762,0,,,2,NA,NA,,,2,NA,NA,,,2,NA,NA,,,2,NA,NA,,,2,NA,NA
,,3,72.9007254,0,,,3,NA,NA,,,3,NA,NA,,,3,NA,NA,,,3,NA,NA,,,3,NA,NA
,120,1,115.930287,0,,120,1,NA,NA,,120,1,NA,NA,,120,1,NA,NA,,120,1,NA,NA,,120,1,NA,NA
,,2,104.291762,0,,,2,NA,NA,,,2,NA,NA,,,2,NA,NA,,,2,NA,NA,,,2,NA,NA
,,3,67.8473796,0,,,3,NA,NA,,,3,NA,NA,,,3,NA,NA,,,3,NA,NA,,,3,NA,NA
,110,1,106.730287,0,,110,1,103.044172,0,,110,1,103.044172,0,,110,1,NA,NA,,110,1,NA,NA,,110,1,NA,NA
,,2,95.791762,0,,,2,87.9662227,0,,,2,87.9662227,0,,,2,NA,NA,,,2,NA,NA,,,2,NA,NA
,,3,63.34612,0,,,3,57.2532121,0,,,3,57.2532121,0,,,3,NA,NA,,,3,NA,NA,,,3,NA,NA
,100,1,96.9328572,0,,100,1,95.0888728,0,,100,1,95.0888728,0,,100,1,NA,NA,,100,1,NA,NA,,100,1,NA,NA
,,2,87.1952633,0,,,2,80.7662229,0,,,2,80.7662229,0,,,2,NA,NA,,,2,NA,NA,,,2,NA,NA
,,3,57.5521191,0,,,3,52.504089,0,,,3,52.504089,0,,,3,NA,NA,,,3,NA,NA,,,3,NA,NA
,90,1,88.4328572,0,,90,1,86.2868785,0,,90,1,86.2868785,0,,90,1,NA,NA,,90,1,NA,NA,,90,1,NA,NA
,,2,79.495263,0,,,2,73.362229,0,,,2,73.362229,0,,,2,NA,NA,,,2,NA,NA,,,2,NA,NA
,,3,52.4072566,0,,,3,48.2973183,0,,,3,48.2973183,0,,,3,NA,NA,,,3,NA,NA,,,3,NA,NA
,80,1,79.0328573,0,,80,1,74.4004671,0,,80,1,74.4004671,0,,80,1,70.1210279,0,,80,1,NA,NA,,80,1,NA,NA
,,2,70.9952631,0,,,2,63.2762237,0,,,2,63.2762237,0,,,2,56.3820561,3.28,,,2,NA,NA,,,2,NA,NA
,,3,46.7482853,0,,,3,42.7411359,4.68,,,3,42.7411359,4.68,,,3,38.3571924,6.2,,,3,NA,NA,,,3,NA,NA
,70,1,NA,NA,,70,1,65.7726955,3.15,,70,1,65.7726955,3.15,,70,1,66.2130267,2.43,,70,1,NA,NA,,70,1,NA,NA
,,2,NA,NA,,,2,54.6026818,6.14,,,2,54.6026818,6.14,,,2,50.2323035,6.47,,,2,NA,NA,,,2,NA,NA
,,3,NA,NA,,,3,36.5379364,7.88,,,3,36.5379364,7.88,,,3,34.2544128,10.11,,,3,NA,NA,,,3,NA,NA
,60,1,NA,NA,,60,1,57.1577764,3.31,,60,1,57.1577764,3.31,,60,1,52.0040796,2.45,,60,1,51.1714237,2.96,,60,1,NA,NA
,,2,NA,NA,,,2,47.1335177,7.13,,,2,47.1335177,7.13,,,2,43.0449013,7.01,,,2,41.9261375,9.19,,,2,NA,NA
,,3,NA,NA,,,3,29.6356456,15.27,,,3,29.6356456,15.27,,,3,28.2037463,15.96,,,3,26.5967562,16.02,,,3,NA,NA
,50,1,NA,NA,,50,1,49.2146486,3.2,,50,1,49.2146486,3.2,,50,1,42.8504737,5.58,,50,1,41.5601482,3.45,,50,1,40.5286806,9.06
,,2,NA,NA,,,2,37.5902196,8.04,,,2,37.5902196,8.04,,,2,36.0030631,12.5,,,2,34.7632492,12.16,,,2,33.5956227,13.25
,,3,NA,NA,,,3,24.4007925,17.95,,,3,24.4007925,17.95,,,3,23.449243,23.41,,,3,22.5749583,24.56,,,3,21.7517485,25.2
,40,1,NA,NA,,40,1,NA,NA,,40,1,NA,NA,,40,1,39.9292897,4.91,,40,1,37.9704137,4.83,,40,1,35.5105032,7.07
,,2,NA,NA,,,2,NA,NA,,,2,NA,NA,,,2,31.2285857,10.05,,,2,30.3781254,10.8,,,2,29.5904704,10.64
,,3,NA,NA,,,3,NA,NA,,,3,NA,NA,,,3,20.267048,20.36,,,3,19.7999263,22.85,,,3,19.1776393,22.95
,30,1,NA,NA,,30,1,NA,NA,,30,1,NA,NA,,30,1,30.9653305,4.04,,30,1,30.0674261,4.88,,30,1,28.8349958,5.91
,,2,NA,NA,,,2,NA,NA,,,2,NA,NA,,,2,24.8436816,7.76,,,2,24.0493586,8.62,,,2,23.2716075,8.98
,,3,NA,NA,,,3,NA,NA,,,3,NA,NA,,,3,16.117658,17.96,,,3,15.592217,19.65,,,3,15.1311552,20.6
